rk	ufi	uni	full_name	nt	lat_dd	long_dd	efctv_dt	term_dt_f	term_dt_n	desig_cd	fc	cc_ft	adm1	ft_link	name_rank	lang_cd	transl_cd	script_cd	name_link	cc_nm	generic	full_nm_nd	sort_gen	sort_name	lat_dms	long_dms	mgrs	mod_dt_ft	mod_dt_nm	dialect_cd	display	gis_notes
5	12998483	16424340	Kūba	N	25.039708	82.811925				TRIG	S	IND	IN-UP		1							Kuba		KUBA	25:02:23	82:48:43	44RPN8280270568	2015-07-24T00:00:00.000Z	2015-07-24T00:00:00.000Z		1,2	
5	-2112913	-2932146	Tair	V	18.352201	76.142231				RSTN	S	IND	IN-MH									Tair		TAIR	18:21:08	76:08:32	43QFA2068429531	2013-01-15T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2089272	-2901302	Asvali	N	19.822838	73.713677				RSTN	S	IND	IN-MH		1							Asvali		ASVALI	19:49:22	73:42:49	43QCB6528592390	2013-01-09T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2089136	-2901100	Arnd	V	26.987909	76.466691				RSTN	S	IND	IN-RJ									Arnd		ARND	26:59:16	76:28:00	43RFK4554385942	2012-09-18T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2088904	-2900810	Angar	N	17.928613	75.607563				RSTN	S	IND	IN-MH		1							Angar		ANGAR	17:55:43	75:36:27	43QEV6434582393	2012-10-04T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2100115	-2915771	Katra	N	26.84394	82.204415				RSTN	S	IND	IN-UP		1							Katra		KATRA	26:50:38	82:12:16	44RPQ1966669718	2012-09-21T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2090660	-2903071	Barsua	N	21.844212	85.119344				RSTN	S	IND	IN-OR		1							Barsua		BARSUA	21:50:39	85:07:10	45QUE0564016771	2012-10-03T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2107427	-2925635	Patas	N	18.473683	74.47019				RSTN	S	IND	IN-MH		1							Patas		PATAS	18:28:25	74:28:13	43QDA4406442675	2012-10-04T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2109528	-2928376	Rohtās	N	24.616667	83.916667				RSTN	S	IND	IN-BR		1							Rohtas		ROHTAS	24:37:00	83:55:00	44RQN9531025636	2003-03-03T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2102661	-2919187	Linch	N	23.532471	72.360686				RSTN	S	IND	IN-GJ		1							Linch		LINCH	23:31:57	72:21:38	43QBG3052604945	2012-09-11T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2106509	-2924373	Odur	V	14.066667	79.85				RSTN	S	IND	IN-AP									Odur		ODUR	14:04:00	79:51:00	44PLA7583955402	2003-02-10T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2089136	-2901114	Arnū	N	26.987909	76.466691				RSTN	S	IND	IN-RJ		1							Arnu		ARNU	26:59:16	76:28:00	43RFK4554385942	2012-09-18T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2760144	-3831223	Ferozepore	V	30.991282	74.551544				DAM	S	IND	IN-PB									Ferozepore		FEROZEPORE	30:59:29	74:33:06	43RDQ5718428722	2018-11-13T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2760144	19147084	Ferozepore Headworks	N	30.991282	74.551544				DAM	S	IND	IN-PB		1							Ferozepore Headworks		FEROZEPOREHEADWORKS	30:59:29	74:33:06	43RDQ5718428722	2018-11-13T00:00:00.000Z	2018-11-13T00:00:00.000Z		1,2,3,4,5	
5	-2115156	-3206529	Olavakod Junction	N	10.799224	76.637234				RSTN	S	IND	IN-KL		1							Olavakod Junction		OLAVAKODJUNCTION	10:47:57	76:38:14	43PFM7900094259	2017-01-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2115156	-2924403	Olavakkot Junction	V	10.799224	76.637234				RSTN	S	IND	IN-KL		2							Olavakkot Junction		OLAVAKKOTJUNCTION	10:47:57	76:38:14	43PFM7900094259	2017-01-24T00:00:00.000Z	2017-01-24T00:00:00.000Z		1,2,3,4,5	
5	-2115156	-2924404	Olavakod	V	10.799224	76.637234				RSTN	S	IND	IN-KL									Olavakod		OLAVAKOD	10:47:57	76:38:14	43PFM7900094259	2017-01-24T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2114994	-2903546	Belraien	V	28.383333	81.033333				RSTN	S	IND	IN-UP									Belraien		BELRAIEN	28:23:00	81:02:00	44RNS0326639668	2003-03-03T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2114994	-3611694	Kauriāla Ghāt	N	28.383333	81.033333				RSTN	S	IND	IN-UP		1							Kauriala Ghat		KAURIALAGHAT	28:23:00	81:02:00	44RNS0326639668	2003-03-03T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2114962	-2935749	Zorāwarpura	N	29.755697	73.449149				RSTN	S	IND	IN-RJ		1							Zorawarpura		ZORAWARPURA	29:45:21	73:26:57	43RCN5005092722	2012-08-22T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2114953	-2935737	Zingzingbar	N	32.793365	77.323723				HLT	S	IND	IN-HP		1							Zingzingbar		ZINGZINGBAR	32:47:36	77:19:25	43SGS1760230770	2012-08-15T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2114951	-2935735	Zindpura	V	28.192906	79.850514				RSTN	S	IND	IN-UP									Zindpura		ZINDPURA	28:11:34	79:51:02	44RLS8717719107	2015-07-29T00:00:00.000Z	2015-07-29T00:00:00.000Z		1,2,3,4,5	
5	-2114951	16475720	Zindpurā Railroad Station	N	28.192906	79.850514				RSTN	S	IND	IN-UP		2							Zindpura Railroad Station		ZINDPURARAILROADSTATION	28:11:34	79:51:02	44RLS8717719107	2015-07-29T00:00:00.000Z	2015-07-29T00:00:00.000Z		1,2,3,4,5	
5	-2114951	16476637	Zindpurā	N	28.192906	79.850514				RSTN	S	IND	IN-UP		1							Zindpura		ZINDPURA	28:11:34	79:51:02	44RLS8717719107	2015-07-29T00:00:00.000Z	2015-07-29T00:00:00.000Z		1,2,3,4,5	
5	-2114949	-2935732	Zerpur	V	28.32426	76.097867				RSTN	S	IND	IN-HR									Zerpur		ZERPUR	28:19:27	76:05:52	43RFM0762433612	2012-09-04T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2114949	-2935733	Zerpur Pali	N	28.32426	76.097867				RSTN	S	IND	IN-HR		1							Zerpur Pali		ZERPURPALI	28:19:27	76:05:52	43RFM0762433612	2012-09-04T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2114937	-2935714	Zankhvāv	N	21.45	73.316667				RSTN	S	IND	IN-GJ		1							Zankhvav		ZANKHVAV	21:27:00	73:19:00	43QCD2556472889	2003-02-11T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
