rk	ufi	uni	full_name	nt	lat_dd	long_dd	efctv_dt	term_dt_f	term_dt_n	desig_cd	fc	cc_ft	adm1	ft_link	name_rank	lang_cd	transl_cd	script_cd	name_link	cc_nm	generic	full_nm_nd	sort_gen	sort_name	lat_dms	long_dms	mgrs	mod_dt_ft	mod_dt_nm	dialect_cd	display	gis_notes
5	-2114755	-2935458	West Melghāt	N	21.416667	77				FRST	V	IND	IN-MH		1							West Melghat		WESTMELGHAT	21:25:00	77:00:00	43QGD0730669584	2003-02-11T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2109558	-2928520	Rupar Forest Division	V	31	76.5				FRST	V	IND	IN-PB									Rupar Forest Division		RUPARFORESTDIVISION	31:00:00	76:30:00	43RFQ4320730568	2003-02-07T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2109558	-2928413	Ropar	N	31	76.5				FRST	V	IND	IN-PB		1							Ropar		ROPAR	31:00:00	76:30:00	43RFQ4320730568	2003-02-07T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2102186	-2918525	Kyāsanūr State Forest	N	14.251928	75.074852				FRST	V	IND	IN-KA		1							Kyasanur State Forest		KYASANURSTATEFOREST	14:15:07	75:04:29	43PER0807475590	2013-01-25T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2098944	-2914159	Kainthū Forest	N	33.183333	74.6				FRST	V	IND	IN-JK		1							Kainthu Forest		KAINTHUFOREST	33:11:00	74:36:00	43SDS6271171683	2020-07-27T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	-2095411	-2909474	East Melghāt	N	21.583333	77.333333				FRST	V	IND	IN-MH		1							East Melghat		EASTMELGHAT	21:35:00	77:20:00	43QGD4159588519	2003-02-11T00:00:00.000Z	1993-09-01T00:00:00.000Z		1,2,3,4,5	
5	6132423	16456019	Ilāqa Nāla Salāmābād Forest	N	34.034242	74.02336				FRST	V	IND,PAK	NULL							IND		Ilaqa Nala Salamabad Forest	FOREST	ILAQANALASALAMABADFOREST	34:02:03	74:01:24	43SDT0984466383	2018-08-08T00:00:00.000Z	2018-08-08T00:00:00.000Z		1,2	
5	6132689	6143487	Bosgai Forest	N	34.655652	74.955015				FRST	V	IND,PAK	NULL									Bosgai Forest		BOSGAIFOREST	34:39:20	74:57:18	43SDU9587834858	2018-08-28T00:00:00.000Z	2018-08-27T00:00:00.000Z		1,2	
5	6132369	6143150	Kingu Forest	N	34.682454	74.032346				FRST	V	IND,PAK	NULL		1		urd_Arab2Latn_HUN_			IND,PAK		Kingu Forest		KINGUFOREST	34:40:57	74:01:56	43SDU1135938255	2018-08-02T00:00:00.000Z	2015-01-22T00:00:00.000Z		1,2	
5	6132689	19055394	Bosgaigah Forest	N	34.655652	74.955015				FRST	V	IND,PAK	NULL		1					PAK		Bosgaigah Forest		BOSGAIGAHFOREST	34:39:20	74:57:18	43SDU9587834858	2018-08-28T00:00:00.000Z	2018-08-27T00:00:00.000Z		1,2	
5	6132423	19031307	Ilaqa Nala Salam Abad Forest	N	34.034242	74.02336				FRST	V	IND,PAK	NULL		1					PAK		Ilaqa Nala Salam Abad Forest		ILAQANALASALAMABADFOREST	34:02:03	74:01:24	43SDT0984466383	2018-08-08T00:00:00.000Z	2018-08-08T00:00:00.000Z		1,2	
